,Unnamed: 0,Unnamed: 0.1,Airport Name,Country,Code
0,0,0,Hartsfield Jackson Atlanta International,United States,ATL
1,1,1,Beijing Capital International,China,PEK
2,2,2,Dubai International,United Arab Emirates,DXB
3,3,3,Chicago O’Hare International,United States,ORD
4,4,4,Tokyo International,Japan,HND
5,5,5,London Heathrow,United Kingdom,LHR
6,6,6,Los Angeles International,United States,LAX
7,7,7,Hong Kong International,Hong Kong,HKG
8,8,8,Charles de Gaulle International,France,CDG
9,9,9,Dallas Fort Worth International,United States,DFW
10,10,10,Atatürk International,Turkey,IST
11,11,11,Frankfurt am Main International,Germany,FRA
12,12,12,Shanghai Pudong International,China,PVG
13,13,13,Amsterdam Schiphol,Netherlands,AMS
14,14,14,John F Kennedy International,United States,JFK
15,15,15,Singapore Changi International,Singapore,SIN
16,16,16,Guangzhou Baiyun International,China,CAN
17,17,17,Soekarno-Hatta International,Indonesia,CGK
18,18,18,Denver International,United States,DEN
19,19,19,Suvarnabhumi (Bangkok),Thailand,BKK
20,20,20,San Francisco International,United States,SFO
21,21,21,Incheon International,South Korea,ICN
22,22,22,Kuala Lumpur International,Malaysia,KUL
23,23,23,Madrid Barajas International,Spain,MAD
24,24,24,Indira Gandhi International (New Delhi),India,DEL
25,25,25,McCarran International (Las Vegas),United States,LAS
26,26,26,Charlotte Douglas International,United States,CLT
27,27,27,Miami International,United States,MIA
28,28,28,Phoenix Sky Harbor International,United States,PHX
29,29,29,George Bush Intercontinental Houston,United States,IAH
30,30,30,Seattle Tacoma International,United States,SEA
31,31,31,Chengdu Shuangliu International,China,CTU
32,32,32,Lester B. Pearson International,Canada,YYZ
33,33,33,Munich International,Germany,MUC
34,34,34,Chhatrapati Shivaji International,India,BOM
35,35,35,Leonardo Da Vinci (Fiumicino) International,Italy,FCO
36,36,36,London Gatwick,United Kingdom,LGW
37,37,37,Sydney Kingsford Smith International,Australia,SYD
38,38,38,Shenzhen Bao’an International,China,SZX
39,39,39,Barcelona International,Spain,BCN
40,40,40,Guarulhos – Governador André Franco Montoro International,Brazil,GRU
41,41,41,Shanghai Hongqiao International,China,SHA
42,42,42,Orlando International,United States,MCO
43,43,43,Taiwan Taoyuan International Airport,Taiwan,TPE
44,44,44,Benito Juárez International Airport,Mexico,MEX
45,45,45,Kunming Changshui International Airport,China,KMG
46,46,46,Newark Liberty International,United States,EWR
47,47,47,Narita International,Japan,NRT
48,48,48,Ninoy Aquino International,Philippines,MNL
49,49,49,Minneapolis-St Paul International/Wold-Chamberlain,United States,MSP
50,50,50,Ufa,Russia,Ufa
51,51,51,Fez,Morocco,Fez
52,52,52,SF,United States,SF
53,53,53,NYC,United States,NYC
